"","SecId","X","Date","diff20","bin.diff20","ksvm","nnet","rf","ada","ksvm.prob.0","ksvm.prob.1","nnet.prob","rf.prob.0","rf.prob.1","ada.prob.1","ada.prob.2","votes","voted","all.prob","voted.prob","type","sector","PriceToday","PriceForward20Days"
"84",515,84,"2009-12-01",3.0166626,0,0,1,0,0,0.813105804153634,0.186894195846366,1,0.728,0.272,0.97454857881632,0.0254514211836799,1,0,0.371086404257511,0,"test","Financials",22.53,22.88
"85",522,85,"2009-12-01",6.2194943,0,0,0,0,0,0.87569202352048,0.12430797647952,0.00125233212765985,0.678,0.322,0.857066814144067,0.142933185855933,0,0,0.147623373615778,0,"test","Financials",65.45,67.46
"86",530,86,"2009-12-01",12.862277,1,0,0,0,0,0.937489178594503,0.0625108214054975,0,0.778,0.222,0.999202553532267,0.000797446467733373,0,0,0.0713270669683077,0,"test","Financials",57.41,65.81
"87",532,87,"2009-12-01",9.739637,1,1,1,1,1,0.193020608790294,0.806979391209706,1,0.4,0.6,0.187920333211679,0.812079666788321,4,1,0.804764764499507,1,"test","Financials",11.13,11.38
"88",551,88,"2009-12-01",7.619691,0,0,0,0,0,0.945494874144893,0.0545051258551068,0,0.842,0.158,0.998098551689403,0.00190144831059682,0,0,0.0536016435414259,0,"test","Financials",14.39,15.96
"89",553,89,"2009-12-01",5.048287,0,0,0,0,0,0.940245587150586,0.0597544128494136,0,0.884,0.116,0.997990072908274,0.00200992709172581,0,0,0.0444410849852849,0,"test","Financials",45.52,47.86
"90",556,90,"2009-12-01",2.9197097,0,0,0,0,0,0.754701904509792,0.245298095490208,0,0.582,0.418,0.852615790131023,0.147384209868977,0,0,0.202670576339796,0,"test","Financials",17.79,18.33
"91",557,91,"2009-12-01",4.084325,0,0,0,0,0,0.9213709020951,0.0786290979049,0,0.75,0.25,0.960404517472355,0.039595482527645,0,0,0.0920561451081362,0,"test","Financials",23.19,23.7
"92",561,92,"2009-12-01",2.536714,0,1,0,1,1,0.439759721747985,0.560240278252015,1.08516289735235e-05,0.404,0.596,0.0278359296643402,0.97216407033566,3,1,0.532103800054162,1,"test","Financials",7.76,7.68
"93",563,93,"2009-12-01",1.4706016,0,0,0,0,0,0.930166211951783,0.0698337880482168,0,0.832,0.168,0.99813945291505,0.00186054708494973,0,0,0.0599235837832916,0,"test","Financials",32.579014,32.35689
