"True Negative","False Negative","False Positive","True Positive","Mean Of Bought Returns","Models","Date","Sector"
99,21,2,5,6.18804337142857,"PCA_rf",2009-01-04,"Information Technology"
101,23,0,3,14.3091716666667,"PCA_ada",2009-01-04,"Information Technology"
101,23,0,3,14.3091716666667,"PCA_voted",2009-01-04,"Information Technology"
100,23,1,3,7.4021845,"PCA_voted.prob",2009-01-04,"Information Technology"
102,0,0,26,0.586074596153846,"actual",2009-02-01,"Information Technology"
101,18,1,8,3.44369866666667,"ksvm",2009-02-01,"Information Technology"
95,22,7,4,-7.38476138181818,"nnet",2009-02-01,"Information Technology"
102,22,0,4,16.768953,"rf",2009-02-01,"Information Technology"
102,23,0,3,17.007919,"ada",2009-02-01,"Information Technology"
102,23,0,3,17.007919,"voted",2009-02-01,"Information Technology"
101,23,1,3,11.15337445,"voted.prob",2009-02-01,"Information Technology"
100,20,2,6,-0.0936657,"PCA_ksvm",2009-02-01,"Information Technology"
97,22,5,4,-3.48644844444444,"PCA_nnet",2009-02-01,"Information Technology"
102,22,0,4,16.768953,"PCA_rf",2009-02-01,"Information Technology"
100,22,2,4,1.78876333333333,"PCA_ada",2009-02-01,"Information Technology"
102,23,0,3,17.007919,"PCA_voted",2009-02-01,"Information Technology"
102,23,0,3,17.007919,"PCA_voted.prob",2009-02-01,"Information Technology"
102,0,0,26,31.5253454230769,"actual",2009-03-01,"Information Technology"
96,17,6,9,25.6172975333333,"ksvm",2009-03-01,"Information Technology"
44,3,58,23,18.0720638358025,"nnet",2009-03-01,"Information Technology"
56,1,46,25,19.5579964915493,"rf",2009-03-01,"Information Technology"
56,2,46,24,19.4179666357143,"ada",2009-03-01,"Information Technology"
62,3,40,23,20.196567515873,"voted",2009-03-01,"Information Technology"
54,2,48,24,18.9575156875,"voted.prob",2009-03-01,"Information Technology"
96,17,6,9,26.4820948666667,"PCA_ksvm",2009-03-01,"Information Technology"
47,3,55,23,17.9347308729487,"PCA_nnet",2009-03-01,"Information Technology"
73,6,29,20,20.4183602304082,"PCA_rf",2009-03-01,"Information Technology"
84,11,18,15,23.1371772272727,"PCA_ada",2009-03-01,"Information Technology"
86,10,16,16,24.264045140625,"PCA_voted",2009-03-01,"Information Technology"
68,6,34,20,20.3197529166667,"PCA_voted.prob",2009-03-01,"Information Technology"
102,0,0,26,19.7564845192308,"actual",2009-04-01,"Information Technology"
100,19,2,7,22.4200977777778,"ksvm",2009-04-01,"Information Technology"
96,13,6,13,17.8741016105263,"nnet",2009-04-01,"Information Technology"
